step,firm_id,sector,production,emissions,intensity,cash,credits_owned
2,Firm_PU42,Pulp & Paper,85434.0,16029.76858908719,,48420395.16470034,0.0
2,Firm_FE87,Fertilizer,120032.0,34056.447463146455,,55661469.43652126,0.0
2,Firm_CH51,Chlor-Alkali,116460.0,36451.26632834394,,42162720.23419837,0.0
2,Firm_CH60,Chlor-Alkali,101976.0,36082.68150987572,,39536762.49900441,0.0
2,Firm_CE04,Cement,184370.0,85648.47528502459,,78449352.82582892,0.0
2,Firm_IR63,Iron & Steel,218254.0,196855.1053065253,,105921778.74339974,0.0
2,Firm_IR61,Iron & Steel,234868.0,251063.70944427152,,109766238.54630364,0.0
2,Firm_CH53,Chlor-Alkali,120466.0,41484.79280928612,,41530125.92609799,0.0
2,Firm_AL22,Aluminium,178130.0,136570.45328652006,,62594666.6414392,0.0
2,Firm_IR64,Iron & Steel,252030.0,241890.12168671863,,115266541.4011596,0.0
2,Firm_AL28,Aluminium,166102.0,150202.11022794354,,95521718.59342527,0.0
2,Firm_CE07,Cement,162612.0,68102.58239654789,,66960553.31711681,0.0
2,Firm_CH54,Chlor-Alkali,131752.0,39032.81774096775,,67674090.58638655,0.0
2,Firm_CH57,Chlor-Alkali,115122.0,39808.7903866806,,48729843.73980373,0.0
2,Firm_IR66,Iron & Steel,201912.0,215894.21588043007,,99152742.74784072,0.0
2,Firm_PE119,Petrochemicals,164302.0,43322.6493478456,,55068536.01280712,0.0
2,Firm_PU33,Pulp & Paper,93534.0,17437.286862658373,,52189512.21561886,0.0
2,Firm_IR73,Iron & Steel,224356.0,219355.468273722,,102127279.0427126,0.0
2,Firm_AL23,Aluminium,166232.0,145994.9841525725,,61128831.342284456,0.0
2,Firm_CE05,Cement,230444.0,101245.91855844903,,51445979.34782063,0.0
2,Firm_PE118,Petrochemicals,168740.0,39728.68616454433,,78778307.4396128,0.0
2,Firm_PE105,Petroleum Refining,201928.0,91202.91925646062,,101811140.19930013,0.0
2,Firm_AL27,Aluminium,149088.0,127221.35442005558,,78041423.10345489,0.0
2,Firm_PE94,Petroleum Refining,216626.0,110845.0544782076,,106779617.35682774,0.0
2,Firm_PE102,Petroleum Refining,198406.0,99866.21131583943,,100597656.84663787,0.0
2,Firm_PE93,Petroleum Refining,182856.0,90905.3560661462,,74059487.06354883,0.0
2,Firm_PE107,Petrochemicals,170898.0,44012.80216203474,,62988680.016002,0.0
2,Firm_PE100,Petroleum Refining,181144.0,92240.92873814852,,92714409.80237502,0.0
2,Firm_PO127,Power,390818.0,163259.42190318584,,153341211.90104443,0.0
2,Firm_AL18,Aluminium,178446.0,160287.71240912905,,61844665.35022476,0.0
2,Firm_PU31,Pulp & Paper,102958.0,21499.755705949698,,50994254.68017168,0.0
2,Firm_FE90,Fertilizer,139006.0,39117.3288570228,,51209355.35733868,0.0
2,Firm_PU45,Pulp & Paper,94166.0,17776.69712419094,,33739296.55930507,0.0
2,Firm_IR65,Iron & Steel,263780.0,288884.74743599416,,109523242.0949915,0.0
2,Firm_PO123,Power,342324.0,147118.4860328427,,166520763.75524354,0.0
2,Firm_FE81,Fertilizer,131564.0,34465.97781812626,,51744153.55158971,0.0
2,Firm_PU40,Pulp & Paper,86144.0,18503.3740885392,,46324573.46573965,0.0
2,Firm_PE112,Petrochemicals,170576.0,38444.96500165871,,47321516.17247714,0.0
2,Firm_IR68,Iron & Steel,286012.0,291069.41481740266,,113124151.03170212,0.0
2,Firm_FE82,Fertilizer,144530.0,42671.487838167646,,56281417.816855,0.0
2,Firm_FE80,Fertilizer,147422.0,41878.188893604514,,62931236.27324273,0.0
2,Firm_PU37,Pulp & Paper,96778.0,21058.242930362598,,44716356.66276071,0.0
2,Firm_PO126,Power,395658.0,148382.60218795127,,144187481.66939372,0.0
2,Firm_PE96,Petroleum Refining,182566.0,86652.36064779133,,65804809.590921625,0.0
2,Firm_PE109,Petrochemicals,166518.0,44770.35799638677,,52732723.05278574,0.0
2,Firm_IR67,Iron & Steel,238684.0,226071.560030912,,129487627.25186902,0.0
2,Firm_PE114,Petrochemicals,184746.0,48960.96812400292,,45589174.13516319,0.0
2,Firm_AL20,Aluminium,164086.0,133448.52080601646,,63982658.36804363,0.0
2,Firm_PU36,Pulp & Paper,111048.0,23606.915741290184,,51678770.78393471,0.0
2,Firm_PU32,Pulp & Paper,92336.0,19128.703669621023,,44711118.62837847,0.0
2,Firm_PO132,Power,364490.0,131710.5803500483,,174962018.49815375,0.0
2,Firm_PU35,Pulp & Paper,83238.0,15830.671152849049,,49147834.62694653,0.0
2,Firm_CE08,Cement,215456.0,87297.68346799415,,68609770.39169617,0.0
2,Firm_CE01,Cement,191590.0,88765.70008703145,,75980246.97464946,0.0
2,Firm_CE03,Cement,189082.0,78608.9793530989,,76646702.0685302,0.0
2,Firm_FE78,Fertilizer,143086.0,36424.21339154582,,37850129.77118277,0.0
2,Firm_FE84,Fertilizer,147656.0,42885.48730138869,,45680959.84911791,0.0
2,Firm_PU44,Pulp & Paper,110140.0,21252.57061321212,,50701772.36187285,0.0
2,Firm_AL30,Aluminium,173814.0,134974.40367361245,,95061290.18945096,0.0
2,Firm_PE111,Petrochemicals,182600.0,49948.09546511477,,65192204.8313041,0.0
2,Firm_IR75,Iron & Steel,213788.0,215167.3692978653,,103308328.61887002,0.0
2,Firm_AL25,Aluminium,154624.0,121945.91516786102,,80521999.67002285,0.0
2,Firm_PU39,Pulp & Paper,102946.0,21048.150708842208,,51346336.39837366,0.0
2,Firm_PO135,Power,395124.0,143653.29889410688,,142803907.92852968,0.0
2,Firm_PO130,Power,369546.0,139414.64840215538,,171738235.6450888,0.0
2,Firm_PU43,Pulp & Paper,112876.0,21022.715223212243,,53609187.04604025,0.0
2,Firm_PE103,Petroleum Refining,189886.0,96639.0673374742,,84133338.18059787,0.0
2,Firm_CH46,Chlor-Alkali,132916.0,45984.67629929395,,58231890.82722864,0.0
2,Firm_PE117,Petrochemicals,172822.0,41820.92641229553,,71151856.51625797,0.0
2,Firm_PO128,Power,396028.0,172445.91960048192,,86641498.48169345,0.0
2,Firm_CE12,Cement,166872.0,70732.54910663527,,51642253.60618898,0.0
2,Firm_IR70,Iron & Steel,290544.0,298628.0926425333,,117420762.08835346,0.0
2,Firm_FE89,Fertilizer,146558.0,40421.60026151724,,53201906.09358501,0.0
2,Firm_CE10,Cement,222130.0,103509.09459882024,,71082975.12472597,0.0
2,Firm_AL24,Aluminium,175280.0,136415.77953340922,,66372119.50512447,0.0
2,Firm_CE15,Cement,169554.0,76709.79831427746,,39670588.917916656,0.0
2,Firm_FE77,Fertilizer,152070.0,38889.42653239681,,39907815.037505016,0.0
2,Firm_CE13,Cement,160380.0,65512.70347602865,,74885727.93931916,0.0
2,Firm_CE02,Cement,165494.0,68455.06338599393,,46274981.17693824,0.0
2,Firm_PE91,Petroleum Refining,215280.0,103158.20947081396,,91496472.37134849,0.0
2,Firm_PO122,Power,307604.0,120767.40263153124,,123027773.55938548,0.0
2,Firm_CH50,Chlor-Alkali,139082.0,48957.8013213341,,76183926.54832062,0.0
2,Firm_CH52,Chlor-Alkali,125968.0,41600.833552200784,,55536828.64689785,0.0
2,Firm_CH49,Chlor-Alkali,113920.0,34334.71459822873,,67502556.03007692,0.0
2,Firm_PE106,Petrochemicals,152178.0,36636.24165779721,,45747528.370114,0.0
2,Firm_CH47,Chlor-Alkali,138130.0,44192.25465887287,,77007397.83907937,0.0
2,Firm_CH56,Chlor-Alkali,103182.0,34621.407692743014,,64867853.81169832,0.0
2,Firm_FE76,Fertilizer,130990.0,36213.16211932121,,38806869.76667155,0.0
2,Firm_PO133,Power,356302.0,141323.50439395927,,168862152.52608925,0.0
2,Firm_PU38,Pulp & Paper,92742.0,18388.884573464857,,54094417.138343066,0.0
2,Firm_FE79,Fertilizer,136516.0,37789.35958538632,,50692283.09184453,0.0
2,Firm_PO125,Power,324898.0,137614.20090991643,,96797142.12533872,0.0
2,Firm_AL29,Aluminium,152538.0,129201.38542010116,,64900685.788899526,0.0
2,Firm_PE108,Petrochemicals,160150.0,43895.50303628448,,51570269.16687745,0.0
2,Firm_CH55,Chlor-Alkali,135204.0,47945.68383583261,,43909014.046501815,0.0
2,Firm_IR69,Iron & Steel,219694.0,233124.7797164418,,123804656.71323046,0.0
2,Firm_FE88,Fertilizer,129880.0,32416.905270699437,,49387585.20705344,0.0
2,Firm_PO134,Power,386738.0,166949.3837268168,,174547180.60002196,0.0
2,Firm_FE86,Fertilizer,149656.0,45072.35494656505,,34370174.26050445,0.0
2,Firm_PE116,Petrochemicals,158040.0,42368.48919484437,,54538344.18666758,0.0
2,Firm_AL26,Aluminium,153940.0,135690.3548595393,,86522618.42467657,0.0
2,Firm_AL16,Aluminium,156616.0,118377.27008905362,,54356871.65720406,0.0
3,Firm_PE101,Petroleum Refining,320982.0,92536.08799117988,,134650587.85759833,0.0
3,Firm_PO129,Power,488460.0,129615.31262242388,,163916233.92723605,0.0
3,Firm_FE76,Fertilizer,196485.0,36213.16211932121,,46887563.65000733,0.0
3,Firm_AL20,Aluminium,246129.0,133448.52080601646,,78289092.55206545,0.0
3,Firm_CH57,Chlor-Alkali,172683.0,39808.7903866806,,58268039.6097056,0.0
3,Firm_AL24,Aluminium,262920.0,136415.77953340922,,81259156.2576867,0.0
3,Firm_PU31,Pulp & Paper,154437.0,21499.755705949698,,58212271.520257525,0.0
3,Firm_PO130,Power,554319.0,139414.64840215538,,203967950.4676332,0.0
3,Firm_PU38,Pulp & Paper,139113.0,18388.884573464857,,61227442.7075146,0.0
3,Firm_IR69,Iron & Steel,329541.0,233124.7797164418,,148379586.0698457,0.0
3,Firm_CE05,Cement,345666.0,101245.91855844903,,67397247.02173093,0.0
3,Firm_CE07,Cement,243918.0,68102.58239654789,,78279703.97567523,0.0
3,Firm_FE84,Fertilizer,221484.0,42885.48730138869,,53615803.27367686,0.0
3,Firm_PE97,Petroleum Refining,293997.0,87254.3180410283,,102636224.32858856,0.0
